location_id,Median time
1,10.5
10,7.5
11,12
12,11
13,11.0
14,9.5
15,13.0
16,10
17,11
18,15.5
19,11.0
2,12
20,15
21,16.0
22,8.0
23,12.0
24,8.5
25,14.0
26,7
27,7.5
28,10.5
29,14
3,10.5
30,10.0
31,12
32,9.5
33,12
34,16.0
35,12.5
36,16.0
37,14.5
38,12
39,14.5
4,10.0
40,17
41,12.0
42,16
43,15
44,28.5
45,18.0
46,16.5
47,21
48,14.5
49,20
5,13
50,16.0
51,14.5
52,14
53,23.5
54,34.5
55,37.5
56,23
57,20.5
58,22.5
59,22.0
6,14
60,13
61,22.0
62,13.5
63,15
64,17.0
65,13
66,14
67,17
68,16.0
69,19.5
7,15
70,16
71,18
72,19
73,15.5
74,23.0
75,24.0
76,18.0
77,18
78,14.5
79,9.5
8,12.0
80,12.5
81,16
82,18
83,14.5
84,19
85,18.5
9,11.0
